X,Y,value
1780493.6,4099503.7,-5.988708581960785
1780493.6,4101503.7,-5.894139583455004
1780493.6,4111503.7,-5.916824251623914
1780493.6,4113503.7,-5.969322284371638
1780493.6,4115503.7,-6.042870171027913
1782493.6,4091503.7,-5.968683759488423
1782493.6,4095503.7,-5.978470884678554
1782493.6,4097503.7,-5.941019953697939
1782493.6,4103503.7,-5.998202209641006
1782493.6,4105503.7,-5.999771917011784
1782493.6,4107503.7,-6.008352633156968
1782493.6,4111503.7,-5.904482929514726
1782493.6,4113503.7,-5.964169914729963
1782493.6,4115503.7,-5.956733595446047
1782493.6,4117503.7,-6.0505741637890855
1784493.6,4095503.7,-6.180406554945416
1784493.6,4099503.7,-5.13907863959526
1784493.6,4105503.7,-6.001915989482223
1784493.6,4109503.7,-6.019316855282483
1784493.6,4111503.7,-6.025275779073981
1784493.6,4127503.7,-6.138319691904908
1786493.6,4093503.7,-5.933164038671486
1786493.6,4113503.7,-6.030088480636454
1786493.6,4119503.7,-6.053803711630326
1786493.6,4127503.7,-6.130420030073476
1788493.6,4101503.7,-5.949751388276342
1788493.6,4109503.7,-6.006216602157135
1788493.6,4111503.7,-6.01439046961665
1788493.6,4113503.7,-6.036056170361307
1788493.6,4115503.7,-6.034563525471208
1788493.6,4119503.7,-6.0573353133903085
1788493.6,4121503.7,-6.059181204545446
1790493.6,4109503.7,-4.852631669670069
1790493.6,4111503.7,-6.024508010003078
1790493.6,4113503.7,-6.0335907862862435
1790493.6,4115503.7,-6.033457677289108
1790493.6,4117503.7,-4.719679696421094
1792493.6,4113503.7,-4.565618259588161
1792493.6,4115503.7,-5.976835854158695
1792493.6,4117503.7,-5.973469956026643
1792493.6,4119503.7,-5.981308449057095
1794493.6,4107503.7,-5.928564696612156
1794493.6,4113503.7,-6.019171221008135
1794493.6,4115503.7,-5.963320197022281
1794493.6,4119503.7,-6.0496449014975004
1794493.6,4121503.7,-6.059982579792514
1794493.6,4123503.7,-6.070061777372193
1796493.6,4109503.7,-6.176152357311806
1796493.6,4113503.7,-5.968428407174706
1796493.6,4115503.7,-5.9919016298398375
1798493.6,4131503.7,-4.284415954393737
1800493.6,4099503.7,-5.910099646576605
1800493.6,4111503.7,-5.9762215319732475
1800493.6,4113503.7,-6.0249445451281645
1802493.6,4121503.7,-6.088667810873055
1802493.6,4123503.7,-6.050663220862407
1802493.6,4125503.7,-6.007345136231443
1802493.6,4133503.7,-6.01787909989278
1804493.6,4101503.7,-5.826228665202788
1804493.6,4123503.7,-6.012492422402607
1804493.6,4129503.7,-5.986688290768449
1804493.6,4131503.7,-6.002331425529719
1804493.6,4133503.7,-6.01205538034056
1804493.6,4141503.7,-6.035081519242431
1806493.6,4123503.7,-5.955298563194622
1806493.6,4125503.7,-5.9760896066281655
1806493.6,4131503.7,-5.958308725907217
1806493.6,4133503.7,-5.967370497147402
1806493.6,4159503.7,-6.290782279086562
1808493.6,4101503.7,-5.83221944958663
1808493.6,4119503.7,-6.098926036921948
1808493.6,4123503.7,-5.952171268834421
1808493.6,4125503.7,-5.956291559492921
1808493.6,4127503.7,-5.956168975240673
1808493.6,4129503.7,-5.955876854520248
1808493.6,4161503.7,-6.329093939209893
1808493.6,4163503.7,-6.341440781738362
1808493.6,4165503.7,-6.316040762336247
1810493.6,4123503.7,-5.9891142029167606
1810493.6,4125503.7,-5.955286536568202
1810493.6,4153503.7,-6.307992511732673
1810493.6,4157503.7,-6.3164213081619325
1810493.6,4159503.7,-5.716210296045865
1810493.6,4163503.7,-6.339927504700309
1810493.6,4165503.7,-6.311370334813096
1810493.6,4167503.7,-6.346247158752425
1812493.6,4131503.7,-5.914438930670982
