X,Y,value
722707.2,3475306.7,-126.64714907771878
724707.2,3495306.7,-122.28211139070491
726707.2,3455306.7,-100.42803970890863
730707.2,3467306.7,-128.79491715426948
730707.2,3469306.7,-131.65372222061384
732707.2,3469306.7,-134.43793295217057
732707.2,3471306.7,-134.41279036559825
734707.2,3449306.7,-132.47355959092448
736707.2,3445306.7,-132.66238723846152
736707.2,3447306.7,-132.66238723846152
736707.2,3469306.7,-127.25359567022828
736707.2,3471306.7,-128.34980098761386
736707.2,3475306.7,-128.18773589175217
736707.2,3477306.7,-126.29080242725614
736707.2,3479306.7,-131.02202592320373
736707.2,3509306.7,-125.92716909798521
738707.2,3445306.7,-132.66238723846152
738707.2,3447306.7,-131.99558610731287
738707.2,3449306.7,-105.80109111372838
738707.2,3451306.7,-132.4712138892617
738707.2,3453306.7,-136.1548759467191
738707.2,3467306.7,-126.80104702962251
738707.2,3475306.7,-125.79368943191481
738707.2,3477306.7,-124.78617367435989
738707.2,3479306.7,-126.2908024272562
738707.2,3481306.7,-124.82605339390902
738707.2,3485306.7,-124.86219024956897
738707.2,3487306.7,-123.2485449108901
738707.2,3489306.7,-123.43357664354434
738707.2,3517306.7,-125.35022797517631
738707.2,3549306.7,-115.67865809420219
738707.2,3555306.7,-113.07655796485604
738707.2,3559306.7,-108.91125207040187
738707.2,3571306.7,-112.27545765737109
740707.2,3443306.7,-126.16484490254363
740707.2,3449306.7,-129.02799350802226
740707.2,3451306.7,-129.07202366426043
740707.2,3453306.7,-128.48561848660438
740707.2,3455306.7,-128.7300638042644
740707.2,3457306.7,-128.5116398575937
740707.2,3459306.7,-128.30149593009386
740707.2,3469306.7,-127.50231973440607
740707.2,3473306.7,-125.79368943191486
740707.2,3475306.7,-126.61979239403713
740707.2,3477306.7,-126.19439533389108
740707.2,3479306.7,-126.19439533389107
740707.2,3481306.7,-125.32401409109465
740707.2,3483306.7,-125.30781917601868
740707.2,3485306.7,-130.3189854754723
740707.2,3487306.7,-124.66827546579911
740707.2,3489306.7,-124.00643689751828
740707.2,3517306.7,-123.60307596416034
740707.2,3519306.7,-121.77079002870396
740707.2,3523306.7,-116.28415917657617
742707.2,3449306.7,-104.08563919761322
742707.2,3451306.7,-129.21042256804554
742707.2,3453306.7,-129.07202366426048
742707.2,3455306.7,-129.04716793090023
742707.2,3457306.7,-129.009123441063
742707.2,3459306.7,-129.03923525004043
742707.2,3461306.7,-128.1664262427864
742707.2,3463306.7,-136.5812403225589
742707.2,3465306.7,-124.40326543890424
742707.2,3469306.7,-124.38158710874723
742707.2,3473306.7,-126.61979239403713
742707.2,3475306.7,-125.16424041280645
742707.2,3477306.7,-126.19439533389105
742707.2,3479306.7,-126.32354230802882
742707.2,3481306.7,-126.32354230802886
742707.2,3483306.7,-126.32354230802886
742707.2,3485306.7,-126.87020925890963
742707.2,3487306.7,-127.42151299820208
742707.2,3489306.7,-125.3621019649576
742707.2,3491306.7,-124.9690079469073
742707.2,3493306.7,-127.93640244991802
742707.2,3495306.7,-127.75775973347808
742707.2,3521306.7,-122.80935432234487
742707.2,3523306.7,-107.48536498125233
742707.2,3525306.7,-115.35411895411838
742707.2,3527306.7,-116.73965019935656
742707.2,3543306.7,-106.63442317027193
742707.2,3553306.7,-112.85195231813648
744707.2,3443306.7,-126.16484490254358
744707.2,3449306.7,-101.83682996976702
744707.2,3451306.7,-101.83682996976694
744707.2,3453306.7,-135.7461114898751
744707.2,3455306.7,-136.29263702003598
744707.2,3459306.7,-129.0840685742527
744707.2,3461306.7,-136.581240322559
744707.2,3463306.7,-128.15850839802135
744707.2,3465306.7,-133.97723218129514
744707.2,3467306.7,-130.48308501332977
744707.2,3473306.7,-124.62177576543988
744707.2,3475306.7,-125.11746837564641
744707.2,3477306.7,-126.49043601913661
744707.2,3479306.7,-125.93161140431582
744707.2,3481306.7,-126.32354230802882
744707.2,3483306.7,-125.95552607138357
744707.2,3485306.7,-126.3364314039824
744707.2,3487306.7,-127.93640244991806
744707.2,3489306.7,-127.91986781395975
744707.2,3491306.7,-127.95293708587636
744707.2,3493306.7,-127.93640244991802
744707.2,3495306.7,-127.85372927012659
744707.2,3497306.7,-127.38310577065762
744707.2,3499306.7,-128.35428663727456
746707.2,3447306.7,-101.83682996976698
746707.2,3449306.7,-101.83682996976695
746707.2,3451306.7,-100.90742826602289
746707.2,3453306.7,-132.1032456654992
746707.2,3463306.7,-133.98298997176136
746707.2,3465306.7,-132.8411639590981
746707.2,3471306.7,-125.30345436479871
746707.2,3475306.7,-125.11746837564645
746707.2,3477306.7,-122.6149212927714
746707.2,3479306.7,-122.28465229663033
746707.2,3481306.7,-125.72887744102024
746707.2,3483306.7,-124.51892624546133
746707.2,3485306.7,-127.93640244991802
746707.2,3487306.7,-127.93640244991806
