X,Y,value
553374.8,3652777.4,-33.473267640543305
553374.8,3658777.4,-33.11308359378519
553374.8,3660777.4,-33.58430977711158
553374.8,3662777.4,-32.86564838195573
553374.8,3666777.4,-32.29235229271426
553374.8,3668777.4,-31.75359897559171
553374.8,3674777.4,-31.910538428494142
553374.8,3678777.4,-31.319436332829238
553374.8,3686777.4,-30.78975981393201
553374.8,3688777.4,-30.201193383141955
553374.8,3690777.4,-30.040047394881352
553374.8,3730777.4,-29.12453912998355
553374.8,3732777.4,-27.51995882997489
553374.8,3736777.4,-28.92083338310545
553374.8,3738777.4,-27.091247932427038
555374.8,3652777.4,-35.575263242002215
555374.8,3658777.4,-35.35726920578574
555374.8,3660777.4,-34.13085181685818
555374.8,3662777.4,-35.5770270561542
555374.8,3666777.4,-34.036137675195874
555374.8,3668777.4,-34.27515153668423
555374.8,3670777.4,-33.997789629941224
555374.8,3672777.4,-36.77266157247505
555374.8,3674777.4,-35.11363108572088
555374.8,3676777.4,-33.32962805330601
555374.8,3678777.4,-33.32140118936313
555374.8,3684777.4,-30.623803598107052
555374.8,3686777.4,-30.324979576219288
555374.8,3688777.4,-30.27754019415009
555374.8,3690777.4,-29.706198389701182
555374.8,3732777.4,-28.08345761549129
557374.8,3664777.4,-34.62348792468325
557374.8,3666777.4,-34.9131837648729
557374.8,3668777.4,-34.326101374248736
557374.8,3670777.4,-34.251042665138876
557374.8,3674777.4,-35.26621643325395
557374.8,3678777.4,-33.80045727315026
557374.8,3684777.4,-33.02620202637016
557374.8,3686777.4,-33.823398910495015
557374.8,3688777.4,-32.0207819763986
557374.8,3732777.4,-28.441005142025332
559374.8,3662777.4,-34.81231144719062
559374.8,3664777.4,-34.46125420258033
559374.8,3666777.4,-36.38822771684881
559374.8,3668777.4,-35.13468619422672
559374.8,3670777.4,-34.90488523778666
559374.8,3672777.4,-34.66022399607447
559374.8,3678777.4,-34.03389212887423
559374.8,3684777.4,-33.21051524813944
559374.8,3686777.4,-33.015961322900026
559374.8,3688777.4,-32.878907462882424
559374.8,3690777.4,-32.63674088179511
559374.8,3692777.4,-31.897832776737737
559374.8,3710777.4,-29.918004099932837
559374.8,3714777.4,-29.672890978644695
561374.8,3660777.4,-34.60584687304425
561374.8,3662777.4,-34.79021984676995
561374.8,3664777.4,-34.90985899308436
561374.8,3666777.4,-34.67517296980906
561374.8,3668777.4,-35.30437032307667
561374.8,3672777.4,-35.14470481949623
561374.8,3676777.4,-34.7897335749202
561374.8,3678777.4,-34.32415510714569
561374.8,3680777.4,-34.11049156929691
561374.8,3684777.4,-34.12186340158536
561374.8,3686777.4,-34.61587578151576
561374.8,3688777.4,-34.98220878433012
561374.8,3694777.4,-32.345748657606165
561374.8,3698777.4,-31.884072513837015
561374.8,3712777.4,-30.329907660968107
561374.8,3714777.4,-29.9833051408056
561374.8,3716777.4,-31.01839892892285
561374.8,3722777.4,-29.545060291555156
563374.8,3652777.4,-35.25661560592217
563374.8,3656777.4,-34.925829359433195
563374.8,3662777.4,-34.94666340014366
563374.8,3664777.4,-35.02151305674341
563374.8,3668777.4,-35.50281879401248
563374.8,3672777.4,-35.04349787989618
563374.8,3674777.4,-36.03362121548772
563374.8,3676777.4,-35.359502323953826
563374.8,3678777.4,-34.29198962215799
563374.8,3682777.4,-34.10310357211072
563374.8,3684777.4,-34.54966861989328
563374.8,3686777.4,-35.06335939844211
563374.8,3688777.4,-35.39915476052136
563374.8,3690777.4,-34.50692876281519
563374.8,3692777.4,-33.462633025878745
563374.8,3694777.4,-32.962174714068475
563374.8,3696777.4,-32.84802858806983
565374.8,3652777.4,-35.186804201461584
565374.8,3654777.4,-35.136342137782094
565374.8,3656777.4,-35.09436948871381
565374.8,3660777.4,-35.10663394256347
565374.8,3662777.4,-34.937179096489636
565374.8,3664777.4,-34.83907850719878
565374.8,3666777.4,-34.98573286007851
565374.8,3668777.4,-34.69902757948471
565374.8,3670777.4,-35.071287466158196
565374.8,3672777.4,-35.39339175216365
565374.8,3674777.4,-35.59667108849152
565374.8,3676777.4,-35.99223888246998
565374.8,3678777.4,-33.93710754408265
565374.8,3680777.4,-33.62510228589744
565374.8,3682777.4,-34.10519034045593
565374.8,3684777.4,-34.93578996217731
565374.8,3686777.4,-39.17898559939
565374.8,3704777.4,-31.306517288621603
565374.8,3708777.4,-30.979614367031704
567374.8,3652777.4,-35.01188056971
567374.8,3654777.4,-35.0121550421884
567374.8,3656777.4,-35.07901423712182
567374.8,3660777.4,-34.427833725077114
567374.8,3662777.4,-34.88651544824843
567374.8,3664777.4,-34.86171053298422
567374.8,3666777.4,-34.94044159665142
567374.8,3668777.4,-34.21440528225745
567374.8,3670777.4,-34.541316613449084
567374.8,3672777.4,-34.99535186044579
567374.8,3674777.4,-35.435458569067244
567374.8,3676777.4,-34.96391117684275
567374.8,3680777.4,-32.95356557361453
567374.8,3682777.4,-33.3154747737227
567374.8,3684777.4,-35.036337495324524
567374.8,3688777.4,-37.82653332615545
567374.8,3690777.4,-37.103555565176634
567374.8,3692777.4,-35.42198001469511
567374.8,3696777.4,-33.519411696066534
567374.8,3700777.4,-33.41978776498133
567374.8,3706777.4,-31.70485261232801
567374.8,3708777.4,-31.05679769966484
567374.8,3712777.4,-31.304211809269127
567374.8,3714777.4,-31.713596931053065
567374.8,3718777.4,-30.82947387749625
567374.8,3720777.4,-30.63288226928342
567374.8,3722777.4,-30.788128093890737
569374.8,3652777.4,-35.156423570059175
569374.8,3654777.4,-35.0126588580976
569374.8,3656777.4,-35.09216005810166
