X,Y,value
-460785.6,4354470.8,-3.0068403368201624
-460785.6,4360470.8,-2.819330429326506
-450785.6,4334470.8,-3.4597558124586616
-442785.6,4326470.8,-3.5373032871127186
-442785.6,4328470.8,-3.6001427928912166
-440785.6,4320470.8,-6.157752744263175
-440785.6,4322470.8,-3.114903689863351
-440785.6,4324470.8,-5.941591795143392
-438785.6,4318470.8,-3.6112332593702576
-434785.6,4322470.8,-3.40282046250859
-428785.6,4182470.8,-5.250797036761545
-428785.6,4184470.8,-4.833361227715506
-428785.6,4190470.8,-3.9085310461369502
-426785.6,4178470.8,-4.9162786832344585
-426785.6,4180470.8,-4.446939406424757
-424785.6,4186470.8,-5.264404913398448
-422785.6,4178470.8,-5.934804316727349
-422785.6,4182470.8,-6.123425161506956
-422785.6,4184470.8,-5.252829682423196
-422785.6,4186470.8,-5.285977498979123
-418785.6,4172470.8,-5.886368109870368
-418785.6,4178470.8,-4.984971528829727
-418785.6,4180470.8,-5.6186248807232975
-418785.6,4200470.8,-4.282569919729683
-418785.6,4204470.8,-4.741024179302336
-418785.6,4214470.8,-3.9260682189118508
-416785.6,4170470.8,-6.464124785387986
-416785.6,4172470.8,-5.35107521317527
-416785.6,4178470.8,-5.556373434375598
-416785.6,4180470.8,-5.7009954324127
-416785.6,4206470.8,-4.66710616560638
-416785.6,4208470.8,-4.491786549084907
-416785.6,4210470.8,-3.9652334769534257
-416785.6,4216470.8,-4.029963560646399
-416785.6,4218470.8,-4.06119914911736
-416785.6,4374470.8,-3.107920726037811
-416785.6,4376470.8,-2.9552597029526413
-416785.6,4378470.8,-2.687575205725125
-416785.6,4380470.8,-2.6637466064528343
-414785.6,4170470.8,-6.293870476210376
-414785.6,4172470.8,-4.801669082019742
-414785.6,4176470.8,-5.311609275580609
-414785.6,4178470.8,-5.851757189128196
-414785.6,4180470.8,-5.430091469268733
-414785.6,4196470.8,-3.99600779567893
-414785.6,4198470.8,-4.0525068664081525
-414785.6,4206470.8,-4.109813300828294
-414785.6,4208470.8,-4.105630536082674
-414785.6,4210470.8,-3.6518613130987982
-414785.6,4214470.8,-3.962668989918913
-414785.6,4372470.8,-3.0711547719832115
-414785.6,4374470.8,-3.0704950235475414
-414785.6,4376470.8,-2.710358717044769
-414785.6,4378470.8,-2.76716335629575
-414785.6,4380470.8,-2.9666996801916174
-412785.6,4168470.8,-5.186464958242077
-412785.6,4170470.8,-5.539139958984705
-412785.6,4172470.8,-5.045996372542731
-412785.6,4176470.8,-5.502599795345908
-412785.6,4178470.8,-5.922373167034282
-412785.6,4180470.8,-4.747272500443541
-412785.6,4204470.8,-4.080782199963499
-412785.6,4210470.8,-4.043495526836505
-412785.6,4212470.8,-3.9036393199864596
-412785.6,4372470.8,-3.008269591026931
-412785.6,4374470.8,-2.7625281717695356
-412785.6,4376470.8,-3.252688883985432
-412785.6,4378470.8,-2.9602756258795995
-412785.6,4380470.8,-2.637093638757286
-410785.6,4168470.8,-5.167437389302666
-410785.6,4170470.8,-5.40814543358652
-410785.6,4172470.8,-4.854724098970328
-410785.6,4174470.8,-5.450789573266738
-410785.6,4176470.8,-5.625558414677214
-410785.6,4178470.8,-5.319984538257307
-410785.6,4180470.8,-4.918300164108798
-410785.6,4194470.8,-4.980891164278951
-410785.6,4202470.8,-4.1377671664176106
-410785.6,4206470.8,-4.216348382404616
-410785.6,4208470.8,-2.9424934862282104
-410785.6,4372470.8,-2.763665588633173
-408785.6,4168470.8,-5.959241216005337
-408785.6,4170470.8,-5.989885227401841
-408785.6,4172470.8,-5.720853014191786
-408785.6,4174470.8,-5.726427381369493
-408785.6,4176470.8,-5.38377674400825
-408785.6,4178470.8,-5.055954169617925
-408785.6,4180470.8,-5.096131879357759
-408785.6,4200470.8,-3.6230851875852768
-408785.6,4202470.8,-3.4367645981325303
-408785.6,4208470.8,-3.4616283843455
-408785.6,4210470.8,-3.5895380671534505
-406785.6,4168470.8,-5.954906765612899
-406785.6,4170470.8,-5.974822477019769
-406785.6,4172470.8,-5.966308156368248
-406785.6,4174470.8,-5.495980474232569
-406785.6,4176470.8,-4.762265798366936
-406785.6,4206470.8,-3.1976567686857527
-404785.6,4168470.8,-5.611601026359423
-404785.6,4170470.8,-5.979128291260911
-404785.6,4172470.8,-5.566719674021348
-404785.6,4174470.8,-5.094281275397383
-404785.6,4178470.8,-5.162931777610829
-404785.6,4180470.8,-5.033206241931872
-404785.6,4194470.8,-4.434338553987375
-404785.6,4202470.8,-3.715171910287937
-404785.6,4270470.8,-3.622130063686351
-404785.6,4286470.8,-2.0308323454251904
-402785.6,4170470.8,-4.931539249798542
-402785.6,4172470.8,-5.422930366705492
-402785.6,4174470.8,-5.059638384489307
-402785.6,4180470.8,-5.211641803572148
-402785.6,4190470.8,-4.517992918633066
-402785.6,4200470.8,-3.380409603682175
-402785.6,4202470.8,-3.9430442018237613
-402785.6,4276470.8,-4.058267926572354
-402785.6,4278470.8,-3.6695350130158277
-402785.6,4346470.8,-3.2762764627128242
-402785.6,4370470.8,-2.8341413498136783
-400785.6,4180470.8,-5.285691926534511
-400785.6,4190470.8,-4.1863904724187995
-400785.6,4200470.8,-3.4298017728026973
-400785.6,4202470.8,-4.274568386828555
-400785.6,4216470.8,-3.5785572299165724
-400785.6,4276470.8,-4.329087203368163
-400785.6,4278470.8,-3.741993158562203
-400785.6,4368470.8,-2.7557882953105866
-398785.6,4194470.8,-4.496683908510089
-398785.6,4200470.8,-4.311494807959646
-398785.6,4276470.8,-4.317909143042071
-398785.6,4366470.8,-3.257019847454336
-398785.6,4368470.8,-2.7711173166008316
