X,Y,value
-460785.6,4354470.8,-4.322930135191505
-450785.6,4334470.8,-3.234045967963261
-442785.6,4326470.8,-3.183143496900992
-442785.6,4328470.8,-3.38140591897612
-440785.6,4322470.8,-2.5099617294287775
-438785.6,4318470.8,-2.6586147732172125
-434785.6,4322470.8,-3.2205449753590263
-428785.6,4182470.8,-3.909956668428466
-428785.6,4184470.8,-3.5967724242758794
-428785.6,4190470.8,-2.9420094303904007
-426785.6,4178470.8,-3.6776709066524376
-426785.6,4180470.8,-3.3245128721405517
-424785.6,4186470.8,-3.8844319884190504
-422785.6,4178470.8,-3.8610096113232513
-422785.6,4182470.8,-3.8315967059532277
-422785.6,4184470.8,-3.735660030848067
-422785.6,4186470.8,-3.9866267944158986
-418785.6,4172470.8,-3.8291575047847104
-418785.6,4178470.8,-3.2392249978008674
-418785.6,4180470.8,-3.5135671620934312
-418785.6,4200470.8,-3.9544870619520327
-418785.6,4204470.8,-4.37675651293332
-418785.6,4214470.8,-4.63616492542232
-416785.6,4172470.8,-3.4788514120950134
-416785.6,4178470.8,-3.3864448525822746
-416785.6,4180470.8,-3.565514655142087
-416785.6,4206470.8,-4.389338243176177
-416785.6,4208470.8,-4.452131473399432
-416785.6,4210470.8,-4.513694121803713
-416785.6,4216470.8,-4.694957887484733
-416785.6,4218470.8,-4.7274996501524775
-416785.6,4374470.8,-6.33128983672139
-416785.6,4376470.8,-6.8608540676309495
-416785.6,4378470.8,-7.025790817515375
-416785.6,4380470.8,-6.90644654600654
-414785.6,4172470.8,-3.119798854052752
-414785.6,4176470.8,-3.452934309560761
-414785.6,4178470.8,-3.6603433540786865
-414785.6,4180470.8,-3.395016945599718
-414785.6,4196470.8,-3.5535102113051744
-414785.6,4198470.8,-3.6040440811740706
-414785.6,4206470.8,-4.467412312657168
-414785.6,4208470.8,-4.459934836229737
-414785.6,4214470.8,-4.618989798069231
-414785.6,4372470.8,-6.344058067668102
-414785.6,4374470.8,-6.343195578938995
-414785.6,4376470.8,-6.883883461597876
-414785.6,4378470.8,-7.183961928284494
-414785.6,4380470.8,-7.641376116159926
-412785.6,4170470.8,-3.6017914330893337
-412785.6,4172470.8,-3.2793054910158435
-412785.6,4176470.8,-3.577482006502024
-412785.6,4178470.8,-3.7047568031153997
-412785.6,4180470.8,-3.683183659994616
-412785.6,4204470.8,-4.437427777049768
-412785.6,4210470.8,-4.71906699589615
-412785.6,4212470.8,-4.767924928553934
-412785.6,4372470.8,-6.483603082877078
-412785.6,4374470.8,-6.383471958343129
-412785.6,4376470.8,-6.817405630334126
-412785.6,4378470.8,-7.618373708186853
-412785.6,4380470.8,-6.828023659134856
-410785.6,4170470.8,-3.5161220585025217
-410785.6,4172470.8,-3.154405368702784
-410785.6,4174470.8,-3.544028285518492
-410785.6,4176470.8,-3.658273270575751
-410785.6,4178470.8,-4.128893255633453
-410785.6,4180470.8,-4.060258520104008
-410785.6,4194470.8,-4.340590392694503
-410785.6,4202470.8,-4.195848650203069
-410785.6,4206470.8,-4.53871938022241
-410785.6,4372470.8,-6.381534255289108
-408785.6,4168470.8,-3.8769070229658844
-408785.6,4170470.8,-3.896842471030345
-408785.6,4172470.8,-3.7207174591250483
-408785.6,4174470.8,-3.724429763728589
-408785.6,4176470.8,-4.070124084797102
-408785.6,4178470.8,-4.174745887035074
-408785.6,4180470.8,-4.215116164336837
-408785.6,4200470.8,-3.671037343784276
-408785.6,4202470.8,-3.732506656816476
-406785.6,4168470.8,-3.874087248446504
-406785.6,4170470.8,-3.8870434050175144
