X,Y,value
-47722.9,3628707.9,-2.2389801518651695
-45722.9,3624707.9,-2.168741913048703
-45722.9,3628707.9,-2.2090301391662566
-43722.9,3606707.9,-2.3237146370124715
-43722.9,3608707.9,-2.2597222052058124
-43722.9,3612707.9,-2.221220056156935
-43722.9,3630707.9,-2.182772983460112
-43722.9,3634707.9,-2.0731592464983555
-43722.9,3636707.9,-2.0739912500886795
-41722.9,3602707.9,-2.2402959877338544
-41722.9,3604707.9,-2.239812331393641
-41722.9,3606707.9,-2.317783273983977
-41722.9,3608707.9,-2.5257888702762368
-41722.9,3610707.9,-2.5340664903372496
-41722.9,3612707.9,-2.5451317055704696
-41722.9,3616707.9,-2.6766930668170543
-41722.9,3626707.9,-2.277755275292478
-41722.9,3628707.9,-2.2191998346437964
-39722.9,3596707.9,-1.2935992025514773
-39722.9,3600707.9,-0.6700778172523179
-39722.9,3606707.9,-2.216879776033936
-39722.9,3608707.9,-2.3111294649520895
-39722.9,3610707.9,-2.4460638674442055
-39722.9,3612707.9,-2.5260369846175963
-39722.9,3614707.9,-2.482412919184035
-39722.9,3628707.9,-2.263859145583788
-39722.9,3630707.9,-2.1724925863647484
-39722.9,3632707.9,-2.0813203752427745
-39722.9,3634707.9,-1.8775279157127254
-39722.9,3636707.9,-1.8127841105249727
-37722.9,3598707.9,-0.4364220287674313
-37722.9,3600707.9,-0.4394206195181196
-37722.9,3610707.9,-2.192046498662315
-37722.9,3612707.9,-2.3660421732643666
-37722.9,3614707.9,-2.3596866807988173
-37722.9,3624707.9,-2.225162081849596
-37722.9,3626707.9,-2.3000344331221014
-37722.9,3628707.9,-2.2876755930805044
-37722.9,3630707.9,-2.142260935176985
-37722.9,3632707.9,-1.9407326580168633
-37722.9,3634707.9,-1.9889727203569274
-37722.9,3636707.9,-1.9273427777340228
-35722.9,3590707.9,-2.7404866667310297
-35722.9,3596707.9,-1.5244573605676912
-35722.9,3610707.9,-2.3052463311712876
-35722.9,3618707.9,-2.2714235004738126
-35722.9,3620707.9,-2.206547766948896
-35722.9,3628707.9,-2.2196529304796835
-35722.9,3630707.9,-2.038363556969198
-35722.9,3632707.9,-1.820949330679274
-35722.9,3634707.9,-2.055434722712999
-35722.9,3636707.9,-2.0221301344115616
-35722.9,3724707.9,-1.2921697800980148
-35722.9,3726707.9,-1.3081892806255269
-33722.9,3582707.9,-2.860062255928594
-33722.9,3598707.9,-2.229392820504761
-33722.9,3604707.9,-2.095239103842542
-33722.9,3606707.9,-2.171366676242387
-33722.9,3608707.9,-2.067014855474203
-33722.9,3612707.9,-2.1260428397290694
-33722.9,3614707.9,-2.08560663817506
-33722.9,3622707.9,-2.2285015636478134
-33722.9,3624707.9,-2.2679113180016945
-33722.9,3628707.9,-2.1015869230034494
-33722.9,3630707.9,-2.0866650678459457
-33722.9,3632707.9,-1.8920952033175658
-33722.9,3634707.9,-1.8515648510359024
-33722.9,3636707.9,-2.019062008350566
-33722.9,3734707.9,-1.182058318001376
-31722.9,3590707.9,-2.473152624582733
-31722.9,3596707.9,-2.384618155632062
-31722.9,3612707.9,-2.1388734953249897
-31722.9,3614707.9,-2.14825890040101
-31722.9,3622707.9,-2.238566908009394
-31722.9,3624707.9,-2.2782433618088618
-31722.9,3626707.9,-2.201097295948445
-31722.9,3628707.9,-2.044684178546364
-31722.9,3636707.9,-1.8818880354471168
-31722.9,3640707.9,-1.9591216887113492
-31722.9,3642707.9,-1.9979951706559573
-31722.9,3728707.9,-1.2575585857626348
-31722.9,3734707.9,-1.1377107152129218
-31722.9,3752707.9,-1.2022359314961286
-31722.9,3754707.9,-1.2046908105055767
-31722.9,3756707.9,-1.2146699809753103
-31722.9,3758707.9,-1.212533586019845
-29722.9,3598707.9,-2.0805728360140074
-29722.9,3600707.9,-1.7899499391072653
-29722.9,3602707.9,-2.040144156976415
-29722.9,3606707.9,-1.9028176413901123
-29722.9,3612707.9,-2.0999712088730567
-29722.9,3614707.9,-2.182729915300958
-29722.9,3624707.9,-2.212020403047419
-29722.9,3626707.9,-2.168440261978707
-29722.9,3628707.9,-2.1752674746469323
-29722.9,3638707.9,-1.9446263869924154
-29722.9,3642707.9,-1.982072600879708
-29722.9,3646707.9,-2.012783391951515
-29722.9,3648707.9,-1.9911610295397224
-29722.9,3730707.9,-1.2378590023593659
-29722.9,3750707.9,-1.2305728640450735
-29722.9,3752707.9,-1.2077789497700964
-29722.9,3754707.9,-1.1978430861703508
-29722.9,3756707.9,-1.2089008809669282
-29722.9,3758707.9,-1.2073607308007626
-29722.9,3762707.9,-1.2468391674096793
-27722.9,3584707.9,-2.1858615223593594
-27722.9,3596707.9,-2.2737762313845815
-27722.9,3598707.9,-2.052045047477665
-27722.9,3600707.9,-2.035028975580935
-27722.9,3602707.9,-1.9251201709097379
-27722.9,3604707.9,-1.802573288946145
-27722.9,3606707.9,-1.901623588798373
-27722.9,3608707.9,-1.9277485135760395
-27722.9,3620707.9,-1.6717158385034931
-27722.9,3624707.9,-2.101360898657631
-27722.9,3626707.9,-2.1932230153574883
-27722.9,3628707.9,-2.1311440508167703
-27722.9,3634707.9,-1.9953413535055022
-27722.9,3636707.9,-1.9639410490476055
-27722.9,3638707.9,-1.946165333568369
-27722.9,3640707.9,-1.8709540822059902
-27722.9,3642707.9,-1.8982624178401355
-27722.9,3646707.9,-2.016204765309383
-27722.9,3722707.9,-1.2575300904439428
-27722.9,3730707.9,-1.2056488967331633
-27722.9,3746707.9,-1.1971919956570365
-27722.9,3748707.9,-1.1993047287691827
-27722.9,3750707.9,-1.2178705725823549
-27722.9,3752707.9,-1.197323264599807
-27722.9,3754707.9,-1.1996039626672417
-25722.9,3552707.9,-2.4577437620641187
-25722.9,3578707.9,-1.7525896308629092
-25722.9,3580707.9,-2.4014086641674917
-25722.9,3582707.9,-1.9170832139821672
-25722.9,3584707.9,-2.0395801728233947
-25722.9,3598707.9,-2.007211603563936
-25722.9,3600707.9,-2.0226915993183674
-25722.9,3602707.9,-1.8111747451907616
-25722.9,3604707.9,-1.852992958987893
-25722.9,3606707.9,-1.8594767821247447
-25722.9,3608707.9,-1.9395975593713237
-25722.9,3610707.9,-1.9562249859550418
-25722.9,3612707.9,-2.1126766739813103
-25722.9,3616707.9,-2.2178806719886093
-25722.9,3618707.9,-2.2030825747865386
-25722.9,3622707.9,-2.179007327313089
-25722.9,3624707.9,-2.2680027589010145
-25722.9,3626707.9,-1.8293915292981902
-25722.9,3630707.9,-2.0712958567330912
-25722.9,3632707.9,-2.058063958571187
-25722.9,3634707.9,-1.9844691525547666
-25722.9,3640707.9,-1.956798481790764
-25722.9,3642707.9,-1.9454074210799728
-25722.9,3646707.9,-1.8953761014349975
-25722.9,3648707.9,-1.9233738021424518
-25722.9,3654707.9,-1.918355161921437
-25722.9,3722707.9,-1.272894180653387
-25722.9,3732707.9,-1.1635146269530499
-25722.9,3736707.9,-1.158559176056785
-25722.9,3740707.9,-1.1382445009084106
-25722.9,3742707.9,-1.1380445591723087
-25722.9,3744707.9,-1.1403755847950043
-25722.9,3746707.9,-1.2002364004381283
-25722.9,3748707.9,-1.1800763724919618
-25722.9,3750707.9,-1.2001799645891944
-25722.9,3752707.9,-1.2228054476849064
-25722.9,3754707.9,-1.2014911992951949
-25722.9,3756707.9,-1.1885155576907822
-25722.9,3758707.9,-1.2745989671682227
-25722.9,3760707.9,-1.2742403752567761
-25722.9,3764707.9,-1.2360830752633747
-25722.9,3770707.9,-1.2598614119631033
-23722.9,3546707.9,-2.6476572929917617
-23722.9,3552707.9,-2.3731928071304385
-23722.9,3580707.9,-2.437828560436003
-23722.9,3582707.9,-2.408794159786
-23722.9,3584707.9,-1.9344055319540236
-23722.9,3586707.9,-1.885945941879828
-23722.9,3598707.9,-1.843010719459157
-23722.9,3600707.9,-1.8161537015425742
-23722.9,3602707.9,-1.8191671314461495
-23722.9,3604707.9,-1.8474623483697936
-23722.9,3606707.9,-1.8905857570822973
-23722.9,3608707.9,-1.9119597336791025
-23722.9,3610707.9,-1.9927812588534972
-23722.9,3612707.9,-2.028541183962843
-23722.9,3614707.9,-2.0763881835958915
-23722.9,3616707.9,-2.185389689221057
-23722.9,3618707.9,-2.1657550556220997
-23722.9,3620707.9,-2.1332292829791775
-23722.9,3622707.9,-2.2836915403145284
-23722.9,3624707.9,-2.197797003927452
-23722.9,3628707.9,-2.1290010607855203
-23722.9,3630707.9,-2.1137479307026315
-23722.9,3632707.9,-2.13016052986313
-23722.9,3634707.9,-2.0094542839026466
-23722.9,3636707.9,-2.011939582425306
-23722.9,3638707.9,-2.10691012843211
-23722.9,3642707.9,-1.8971821782132237
-23722.9,3644707.9,-1.804091797807858
-23722.9,3646707.9,-1.8776073096829804
-23722.9,3650707.9,-1.7711723497691614
-23722.9,3654707.9,-1.8669052514588365
-23722.9,3726707.9,-1.235671701655354
-23722.9,3734707.9,-1.157533016763171
-23722.9,3736707.9,-1.1751541523405342
-23722.9,3740707.9,-1.144821813812304
-23722.9,3742707.9,-1.1408416348036587
-23722.9,3744707.9,-1.1405740447816433
-23722.9,3746707.9,-1.2027748138135552
-23722.9,3748707.9,-1.2137419344672074
-23722.9,3750707.9,-1.2173053790081916
-23722.9,3752707.9,-1.2110588536755649
-23722.9,3754707.9,-1.1899114871834129
-23722.9,3756707.9,-1.1812163669727311
-23722.9,3766707.9,-1.2452929577862826
-23722.9,3768707.9,-1.204244791635272
-21722.9,3546707.9,-2.94685854936324
-21722.9,3552707.9,-3.0311531293150447
-21722.9,3582707.9,-2.4584261088363637
-21722.9,3598707.9,-1.7584569462454216
-21722.9,3600707.9,-1.769330329162395
-21722.9,3602707.9,-1.8339913455781576
-21722.9,3608707.9,-1.9384220096108036
-21722.9,3610707.9,-1.994687033272376
-21722.9,3612707.9,-1.9810967954607914
-21722.9,3614707.9,-2.0752753204458374
-21722.9,3616707.9,-2.1523631630737317
-21722.9,3618707.9,-2.176939782804793
-21722.9,3620707.9,-2.136824215607995
-21722.9,3622707.9,-2.1509199893594473
-21722.9,3624707.9,-2.2421456888034847
