X,Y,value
-47722.9,3628707.9,-3.912608524529423
-45722.9,3624707.9,-3.691981706484611
-45722.9,3628707.9,-3.8585306276536224
-43722.9,3606707.9,-3.9479877700849677
-43722.9,3608707.9,-3.837500739079217
-43722.9,3612707.9,-3.7725479967711486
-43722.9,3630707.9,-3.813307084714969
-43722.9,3634707.9,-3.6212842539290695
-43722.9,3636707.9,-3.623923203845762
-41722.9,3602707.9,-3.930927079533314
-41722.9,3604707.9,-4.027867065942093
-41722.9,3606707.9,-4.038687029425288
-41722.9,3608707.9,-4.284609033135955
-41722.9,3610707.9,-4.303230701097432
-41722.9,3612707.9,-4.321318325331263
-41722.9,3616707.9,-4.5525937698531935
-41722.9,3626707.9,-3.976772641764087
-41722.9,3628707.9,-3.874285412255233
-39722.9,3596707.9,-2.3364821993785965
-39722.9,3600707.9,-1.1935238809833513
-39722.9,3606707.9,-3.903238833108041
-39722.9,3608707.9,-3.916654304870689
-39722.9,3610707.9,-4.151840199473126
-39722.9,3612707.9,-4.2886884438424175
-39722.9,3614707.9,-4.219277364218451
-39722.9,3628707.9,-3.9527366649561477
-39722.9,3630707.9,-3.7932602870040415
-39722.9,3632707.9,-3.6349329857684363
-39722.9,3634707.9,-3.278640058987153
-39722.9,3636707.9,-3.163891342981443
-37722.9,3598707.9,-0.8298797147077916
-37722.9,3600707.9,-0.8188429996021505
-37722.9,3610707.9,-3.7333058371640724
-37722.9,3612707.9,-4.120524923100577
-37722.9,3614707.9,-4.110915458309061
-37722.9,3624707.9,-3.8269326482587913
-37722.9,3626707.9,-4.015190603125764
-37722.9,3628707.9,-3.994208140214969
-37722.9,3630707.9,-3.695456352996769
-37722.9,3632707.9,-3.3501198916722505
-37722.9,3634707.9,-3.473220726574052
-37722.9,3636707.9,-3.3635039086407863
-35722.9,3590707.9,-5.177561971788772
-35722.9,3596707.9,-2.8650254917627356
-35722.9,3610707.9,-4.0139601296741025
-35722.9,3618707.9,-3.9591629382336713
-35722.9,3620707.9,-3.8463251796127267
-35722.9,3628707.9,-3.8347311550078493
-35722.9,3630707.9,-3.5232013772772466
-35722.9,3632707.9,-3.1482890602167832
-35722.9,3634707.9,-3.5889386998002366
-35722.9,3636707.9,-3.529867442579952
-33722.9,3582707.9,-5.650072532379374
-33722.9,3598707.9,-4.302849860300192
-33722.9,3604707.9,-3.7887543840280355
-33722.9,3606707.9,-3.8274903133422677
-33722.9,3608707.9,-3.7145446311462633
-33722.9,3612707.9,-3.622333708320304
-33722.9,3614707.9,-3.5610611062769233
-33722.9,3622707.9,-3.886272375519372
-33722.9,3624707.9,-3.9561662657480783
-33722.9,3628707.9,-3.6249242750028925
-33722.9,3630707.9,-3.6430955696826834
-33722.9,3632707.9,-3.3035633594456746
-33722.9,3634707.9,-3.232014521558472
-33722.9,3636707.9,-3.5243326649251587
-31722.9,3596707.9,-4.779686979456564
-31722.9,3612707.9,-3.6433824517389928
-31722.9,3614707.9,-3.668598386484138
-31722.9,3622707.9,-3.903492514492872
-31722.9,3626707.9,-3.7876636090988773
-31722.9,3628707.9,-3.5203512859697694
-31722.9,3636707.9,-3.233768671875735
-31722.9,3640707.9,-3.418017701446315
-31722.9,3642707.9,-3.486005249952042
-29722.9,3598707.9,-4.035990315405391
-29722.9,3600707.9,-3.4534887296621237
-29722.9,3602707.9,-3.8284824251531826
-29722.9,3606707.9,-3.5522873652492657
-29722.9,3612707.9,-3.692189391155493
-29722.9,3614707.9,-3.720363768580242
-29722.9,3624707.9,-3.8571935931118593
-29722.9,3626707.9,-3.724654806864592
-29722.9,3628707.9,-3.739107817091284
-29722.9,3638707.9,-3.392622043802045
-29722.9,3642707.9,-3.458204059060133
-29722.9,3646707.9,-3.4489359401086763
-29722.9,3648707.9,-3.4100807171630834
-27722.9,3584707.9,-5.044442161850122
-27722.9,3596707.9,-4.5498273357687395
-27722.9,3598707.9,-4.034373363541998
-27722.9,3600707.9,-3.915226060041378
-27722.9,3602707.9,-3.6820384237280237
-27722.9,3604707.9,-3.4537778098739245
-27722.9,3606707.9,-3.538370873954656
-27722.9,3608707.9,-3.608071112338712
-27722.9,3620707.9,-2.822505572828407
-27722.9,3624707.9,-3.600136106251442
-27722.9,3626707.9,-3.759598176904247
-27722.9,3628707.9,-3.655269057159925
-27722.9,3634707.9,-3.480376576630194
-27722.9,3636707.9,-3.425670315309807
-27722.9,3638707.9,-3.3954872418009048
-27722.9,3640707.9,-3.264537760284279
-27722.9,3642707.9,-3.3103297317282125
-27722.9,3646707.9,-3.449088679065948
-25722.9,3552707.9,-5.167512298738029
-25722.9,3578707.9,-4.3971239757158935
-25722.9,3580707.9,-6.149211899589585
-25722.9,3582707.9,-4.709756436179935
-25722.9,3584707.9,-5.162910020765615
-25722.9,3598707.9,-4.05111831151172
-25722.9,3600707.9,-3.9869567120002456
-25722.9,3602707.9,-3.5239032349175936
-25722.9,3604707.9,-3.564929387141217
-25722.9,3606707.9,-3.5907135948896256
-25722.9,3608707.9,-3.62712768014942
-25722.9,3610707.9,-3.6742111109140687
-25722.9,3612707.9,-3.831438173080965
-25722.9,3616707.9,-3.7750660668062594
-25722.9,3618707.9,-3.758150396092464
-25722.9,3622707.9,-3.725775658318812
-25722.9,3624707.9,-3.880570983225095
-25722.9,3626707.9,-3.130437185807843
-25722.9,3632707.9,-3.51722681479886
-25722.9,3634707.9,-3.3906253458140356
-25722.9,3640707.9,-3.4137419723165476
-25722.9,3642707.9,-3.39374492582872
-25722.9,3646707.9,-3.2326582841465417
-25722.9,3654707.9,-3.3461002726605353
-23722.9,3546707.9,-5.150025848197567
-23722.9,3552707.9,-5.22721726306806
-23722.9,3580707.9,-6.23212391622237
-23722.9,3582707.9,-6.143565492628677
-23722.9,3584707.9,-5.087601217414532
-23722.9,3586707.9,-4.953800115049031
-23722.9,3598707.9,-3.916729563987741
-23722.9,3600707.9,-3.8109350176707575
-23722.9,3602707.9,-3.6525182971086214
-23722.9,3604707.9,-3.632612574874559
-23722.9,3606707.9,-3.6642651434807822
-23722.9,3608707.9,-3.7105251824791003
-23722.9,3610707.9,-3.7427373436616116
-23722.9,3612707.9,-3.682557482297413
-23722.9,3614707.9,-3.7443307299941884
-23722.9,3616707.9,-3.717143381950436
-23722.9,3618707.9,-3.690083911395438
-23722.9,3620707.9,-3.6360608182716376
-23722.9,3622707.9,-3.895111781901577
-23722.9,3624707.9,-3.752292125229135
-23722.9,3628707.9,-3.630268388980414
-23722.9,3630707.9,-3.6035638116452975
-23722.9,3632707.9,-3.6343929926573284
-23722.9,3634707.9,-3.409140902224896
-23722.9,3636707.9,-3.5086813887637027
-23722.9,3638707.9,-3.5567058322922143
-23722.9,3642707.9,-3.23398136421174
-23722.9,3644707.9,-3.1459242204373825
-23722.9,3646707.9,-3.273476378791036
-23722.9,3650707.9,-3.013385043373491
-23722.9,3654707.9,-3.2563496621545784
-21722.9,3582707.9,-6.261538016573353
-21722.9,3598707.9,-4.06457056766293
-21722.9,3600707.9,-3.9080637073885707
-21722.9,3602707.9,-3.8604619088541505
-21722.9,3608707.9,-3.77595048710492
-21722.9,3610707.9,-3.7760761914097887
-21722.9,3612707.9,-3.729666378490135
-21722.9,3614707.9,-3.7361232155393562
-21722.9,3616707.9,-3.712085442494875
-21722.9,3618707.9,-3.7028950428819387
-21722.9,3620707.9,-3.6376303090361906
-21722.9,3622707.9,-3.6653321394470506
-21722.9,3624707.9,-3.8220575551131066
-21722.9,3626707.9,-3.5422671948803783
-21722.9,3628707.9,-3.5421390948567173
-21722.9,3630707.9,-3.587867942030006
-21722.9,3632707.9,-3.5407083931862084
-21722.9,3634707.9,-3.3729034680763292
-21722.9,3636707.9,-3.3521757088181525
-21722.9,3638707.9,-3.4874690008926117
-21722.9,3642707.9,-3.36878168808632
-21722.9,3644707.9,-3.0981499096763554
-21722.9,3646707.9,-3.10329454424197
