X,Y,value
-366710.1,4404221.7,-2.1505046149581526
-366710.1,4406221.7,-2.2139129757140865
-366710.1,4408221.7,-2.330902561007856
-366710.1,4410221.7,-2.41113759091045
-366710.1,4412221.7,-2.3496755115962333
-364710.1,4402221.7,-2.1511830963578054
-364710.1,4404221.7,-2.091802998910368
-364710.1,4406221.7,-2.1762834992929228
-364710.1,4408221.7,-2.2633537563747788
-364710.1,4410221.7,-2.420464989015216
-364710.1,4412221.7,-2.366415819688225
-364710.1,4414221.7,-2.467430146282113
-364710.1,4416221.7,-2.277504375555347
-362710.1,4398221.7,-1.1958192636334515
-362710.1,4400221.7,-2.131148182545306
-362710.1,4402221.7,-1.1514138658619208
-362710.1,4406221.7,-2.1956540120289105
-362710.1,4408221.7,-2.2243940187795426
-362710.1,4410221.7,-2.459019264745621
-362710.1,4412221.7,-2.388208127062666
-362710.1,4414221.7,-2.4632045125850497
-362710.1,4416221.7,-2.3293670476663126
-362710.1,4444221.7,-1.8452017792099717
-362710.1,4446221.7,-1.943247434424368
-360710.1,4400221.7,-1.184344006893859
-360710.1,4402221.7,-2.1339581331629978
-360710.1,4406221.7,-2.1664830591979483
-360710.1,4408221.7,-2.3973274287223925
-360710.1,4410221.7,-2.459037930109855
-360710.1,4412221.7,-2.472911521338547
-360710.1,4414221.7,-2.3938165658087778
-360710.1,4416221.7,-2.3211177689147386
-360710.1,4422221.7,-2.1946001724277013
-360710.1,4442221.7,-1.9580096425815683
-360710.1,4444221.7,-1.9079818076772823
-360710.1,4446221.7,-1.8999179787715972
-360710.1,4450221.7,-1.911177412003714
-360710.1,4462221.7,-1.6739366868719772
-358710.1,4400221.7,-2.1306015973949965
-358710.1,4406221.7,-2.2714418979338022
-358710.1,4408221.7,-2.2909043166534744
-358710.1,4410221.7,-2.3949208077211663
-358710.1,4412221.7,-2.4744445014522993
-358710.1,4414221.7,-2.3703230166956235
-358710.1,4416221.7,-2.2961601683966677
-358710.1,4420221.7,-2.3591650366845762
-358710.1,4440221.7,-1.8817440408639097
-358710.1,4442221.7,-1.913707570283549
-358710.1,4446221.7,-2.0210706008429526
-358710.1,4454221.7,-1.9226411021690564
-358710.1,4456221.7,-1.9311773111222383
-358710.1,4462221.7,-1.7659777582744847
-358710.1,4464221.7,-1.7628950406883677
-358710.1,4466221.7,-1.7632900692309526
-358710.1,4468221.7,-1.9108812236569799
-358710.1,4470221.7,-1.9783552869088659
-358710.1,4472221.7,-1.9786766177442336
-358710.1,4474221.7,-2.0605185043733862
-358710.1,4476221.7,-1.1735100152691622
-356710.1,4398221.7,-2.3233107873090733
-356710.1,4412221.7,-2.4316984085147904
-356710.1,4414221.7,-2.389907989705916
-356710.1,4416221.7,-2.4251530670841803
-356710.1,4418221.7,-2.379236289733096
-356710.1,4420221.7,-2.536359314200848
-356710.1,4438221.7,-1.9681391064993714
-356710.1,4440221.7,-1.9541598248240082
-356710.1,4442221.7,-1.9439762233834974
-356710.1,4452221.7,-1.9568807434046624
-356710.1,4454221.7,-1.9486369347652293
-356710.1,4456221.7,-1.923113740733037
-356710.1,4462221.7,-1.717215586075664
-356710.1,4464221.7,-1.71684121837474
-356710.1,4466221.7,-1.8009389000564207
-356710.1,4468221.7,-1.9095408081396246
-356710.1,4470221.7,-1.9281055938142362
-356710.1,4472221.7,-1.985608467022133
-356710.1,4474221.7,-2.0109553498496515
-354710.1,4414221.7,-2.317928842296568
-354710.1,4416221.7,-2.5413967006199654
-354710.1,4418221.7,-2.3619541671156443
-354710.1,4422221.7,-2.543208838511023
