X,Y,value
-126696.6,4993184.0,-46.34136814305792
-126696.6,4995184.0,-46.36988471267219
-124696.6,4993184.0,-46.6414452835976
-124696.6,4995184.0,-46.59772775225771
-124696.6,4997184.0,-46.51560658049525
-122696.6,4985184.0,-45.455896178696605
-122696.6,4987184.0,-46.466764086679966
-122696.6,4989184.0,-46.71514401562194
-122696.6,4991184.0,-40.77697995263805
-122696.6,4993184.0,-46.60892080999042
-122696.6,4995184.0,-46.643302028541854
-122696.6,4997184.0,-46.55069493372485
-122696.6,4999184.0,-46.48534359535454
-120696.6,4985184.0,-45.64955245409682
-120696.6,4987184.0,-46.43687956987522
-120696.6,4989184.0,-46.74497068507026
-120696.6,4991184.0,-46.74611655044667
-120696.6,4993184.0,-39.103462155503784
-120696.6,4995184.0,-46.56926063222252
-120696.6,4997184.0,-46.51309929757639
-120696.6,4999184.0,-46.46545655999811
-120696.6,5001184.0,-46.344955513690174
-118696.6,4987184.0,-46.443140190468185
-118696.6,4989184.0,-46.3450622669453
-118696.6,4991184.0,-46.64461507935336
-118696.6,4993184.0,-46.74781853252609
-118696.6,4995184.0,-39.1029430795333
-118696.6,4997184.0,-44.89200851199369
-118696.6,4999184.0,-44.82728611597861
-118696.6,5001184.0,-44.596169010990245
-118696.6,5003184.0,-46.55798203831154
-116696.6,4985184.0,-38.17222327117796
-116696.6,4987184.0,-40.347002668065294
-116696.6,4989184.0,-46.438842328257856
-116696.6,4991184.0,-46.3618129372316
-116696.6,4993184.0,-46.63999705602723
-116696.6,4995184.0,-46.73088833854963
-116696.6,4997184.0,-39.07597024255027
-116696.6,4999184.0,-44.85855932443276
-116696.6,5001184.0,-44.73120236652275
-116696.6,5003184.0,-44.610664516991584
-116696.6,5005184.0,-44.749090572819604
-114696.6,4985184.0,-38.29702035690256
-114696.6,4987184.0,-38.729755394413324
-114696.6,4989184.0,-38.77907409000984
-114696.6,4991184.0,-44.64653354293356
-114696.6,4993184.0,-44.779215205559076
-114696.6,4995184.0,-44.64487531017698
-114696.6,4997184.0,-46.527991543843584
-114696.6,4999184.0,-38.83288127440449
-114696.6,5001184.0,-44.694027688651644
-114696.6,5003184.0,-44.696818510101316
-114696.6,5005184.0,-44.657368357640514
-114696.6,5007184.0,-44.76796723614107
-112696.6,4985184.0,-35.58460584868299
-112696.6,4987184.0,-38.300893332699566
-112696.6,4989184.0,-38.103585679167914
-112696.6,4997184.0,-44.68934870860807
-112696.6,4999184.0,-44.98601171081615
-112696.6,5001184.0,-31.92694492266365
-112696.6,5003184.0,-35.41437467090768
-112696.6,5005184.0,-44.75801663936737
-112696.6,5007184.0,-44.653258789808284
-112696.6,5009184.0,-43.99789444497658
-110696.6,4987184.0,-35.48780524725458
