X,Y,value
-126696.6,4993184.0,-0.04380625037345616
-126696.6,4995184.0,-0.04383320693599136
-124696.6,4993184.0,-0.04369052546710561
-124696.6,4995184.0,-0.04364957386484007
-124696.6,4997184.0,-0.0439709570474477
-122696.6,4985184.0,-0.04257998390808586
-122696.6,4987184.0,-0.043924786496195696
-122696.6,4989184.0,-0.0441595787302399
-122696.6,4991184.0,-0.03854626362701069
-122696.6,4993184.0,-0.04366005875807081
-122696.6,4995184.0,-0.04369226473915862
-122696.6,4997184.0,-0.04360551672760075
-122696.6,4999184.0,-0.04394234960754583
-120696.6,4985184.0,-0.04276138790148298
-120696.6,4987184.0,-0.04349890225580245
-120696.6,4989184.0,-0.04418777372322383
-120696.6,4991184.0,-0.04418885690370781
-120696.6,4993184.0,-0.036964296098572914
-120696.6,4995184.0,-0.04362290780796061
-120696.6,4997184.0,-0.0435702996992988
-120696.6,4999184.0,-0.04352567123148804
-120696.6,5001184.0,-0.043809641495954184
-118696.6,4987184.0,-0.04350476677826297
-118696.6,4989184.0,-0.043412894067428584
-118696.6,4991184.0,-0.043693494715622054
-118696.6,4993184.0,-0.04419046577837185
-118696.6,4995184.0,-0.03696380541880154
-118696.6,4997184.0,-0.04205177239335146
-118696.6,4999184.0,-0.04199114486617696
-118696.6,5001184.0,-0.04177465012207157
-118696.6,5003184.0,-0.04401101434375063
-116696.6,4985184.0,-0.03608400090317985
-116696.6,4987184.0,-0.038139808372501444
-116696.6,4989184.0,-0.04350074083401505
-116696.6,4991184.0,-0.0434285849531266
-116696.6,4993184.0,-0.04368916886627259
-116696.6,4995184.0,-0.04417446175548857
-116696.6,4997184.0,-0.03693830813856341
-116696.6,4999184.0,-0.04202043947534047
-116696.6,5001184.0,-0.04190114016162609
-116696.6,5003184.0,-0.04178822852364681
-116696.6,5005184.0,-0.0423010788021169
-114696.6,4985184.0,-0.03620197092871411
-114696.6,4987184.0,-0.036611033072499855
-114696.6,4989184.0,-0.036657653774778726
-114696.6,4991184.0,-0.041821828181244664
-114696.6,4993184.0,-0.041946115315245565
-114696.6,4995184.0,-0.04182027486187299
-114696.6,4997184.0,-0.043982664487841515
-114696.6,4999184.0,-0.036708517421795074
-114696.6,5001184.0,-0.04186631745833325
-114696.6,5003184.0,-0.04186893170956154
-114696.6,5005184.0,-0.041831977496837425
-114696.6,5007184.0,-0.042318922812184155
-112696.6,4985184.0,-0.0329811051410537
-112696.6,4987184.0,-0.036205632032264845
-112696.6,4989184.0,-0.03601911815022916
-112696.6,4997184.0,-0.04186193450888753
-112696.6,4999184.0,-0.042525039101644554
