X,Y,value
-126696.6,4993184.0,-19.332771799537174
-126696.6,4995184.0,-19.344667855405547
-124696.6,4993184.0,-19.28984870547753
-124696.6,4995184.0,-19.27176981815195
-124696.6,4997184.0,-19.4054575894368
-122696.6,4985184.0,-18.799578489885693
-122696.6,4987184.0,-19.385082268755383
-122696.6,4989184.0,-19.488697151885095
-122696.6,4991184.0,-17.019399667863482
-122696.6,4993184.0,-19.276398546764998
-122696.6,4995184.0,-19.29061653398276
-122696.6,4997184.0,-19.25231991202672
-122696.6,4999184.0,-19.392832994444436
-120696.6,4985184.0,-18.879662686024158
-120696.6,4987184.0,-19.20525272534511
-120696.6,4989184.0,-19.501139716086314
-120696.6,4991184.0,-19.50161773703881
-120696.6,4993184.0,-16.400963921615233
-120696.6,4995184.0,-19.259997511447388
-120696.6,4997184.0,-19.236772633713315
-120696.6,4999184.0,-19.21707052786527
-120696.6,5001184.0,-19.33426831435894
-118696.6,4987184.0,-19.207841695317676
-118696.6,4989184.0,-19.167106860832643
-118696.6,4991184.0,-19.291159438530904
-118696.6,4993184.0,-19.502327735811907
-118696.6,4995184.0,-16.40074629549479
-118696.6,4997184.0,-18.642866626967876
-118696.6,4999184.0,-18.61600463459086
-118696.6,5001184.0,-18.52008296147713
-118696.6,5003184.0,-19.423135044932874
-116696.6,4985184.0,-16.010725245046245
-116696.6,4987184.0,-16.839959011709354
-116696.6,4989184.0,-19.206064347021854
-116696.6,4991184.0,-19.174033838738453
-116696.6,4993184.0,-19.28924968893706
-116696.6,4995184.0,-19.495265079935823
-116696.6,4997184.0,-16.389443067040922
-116696.6,4999184.0,-18.62898397324081
-116696.6,5001184.0,-18.576126378375648
-116696.6,5003184.0,-18.526099036373008
-116696.6,5005184.0,-18.730344799725255
-116696.6,5007184.0,-79.39667146871669
-114696.6,4985184.0,-16.063020692493932
-114696.6,4987184.0,-16.244358833977728
-114696.6,4989184.0,-16.26502626353369
-114696.6,4991184.0,-18.54098487680474
-114696.6,4993184.0,-18.596052627082454
-114696.6,4995184.0,-18.540296987936642
-114696.6,4997184.0,-19.410624073925398
-114696.6,4999184.0,-16.287575436487547
-114696.6,5001184.0,-18.5606973934787
-114696.6,5003184.0,-18.56185578752263
-114696.6,5005184.0,-18.54548268551759
-114696.6,5007184.0,-18.738242349389473
-114696.6,5009184.0,-79.82638923957383
-114696.6,5011184.0,-78.08636714108725
-112696.6,4985184.0,-14.60041812092276
-112696.6,4987184.0,-16.064643484880936
-112696.6,4989184.0,-15.981962562064906
-112696.6,4997184.0,-18.558754962363068
-112696.6,4999184.0,-18.829467241569517
-112696.6,5001184.0,-14.288974957985461
-112696.6,5003184.0,-15.893874079908132
-112696.6,5005184.0,-18.587255085016267
-112696.6,5007184.0,-18.543776985703442
-112696.6,5009184.0,-18.416061109938635
-112696.6,5011184.0,-78.31799447820295
-112696.6,5013184.0,-77.85932615071219
-112696.6,5015184.0,-77.73554650620986
-110696.6,4987184.0,-14.560726709004806
-110696.6,4995184.0,-18.238688454047168
-110696.6,4999184.0,-18.60201025788216
-110696.6,5001184.0,-18.81659797001047
-110696.6,5003184.0,-13.716102882653628
-110696.6,5005184.0,-15.51412416807801
-110696.6,5007184.0,-15.547346656252822
-110696.6,5009184.0,-18.25430101772297
-110696.6,5011184.0,-78.43563569738917
-110696.6,5015184.0,-77.93782936108028
-110696.6,5019184.0,-77.8182482071323
-108696.6,4997184.0,-18.23933454762
-108696.6,4999184.0,-18.408970149256906
-108696.6,5001184.0,-18.598334770965803
-108696.6,5003184.0,-18.348379907352406
-108696.6,5005184.0,-78.33421055595988
-108696.6,5007184.0,-78.44286965287141
-108696.6,5009184.0,-78.34041880737679
-108696.6,5011184.0,-78.05410731404532
-108696.6,5013184.0,-78.07147607382572
-108696.6,5015184.0,-78.09822076006925
-108696.6,5017184.0,-77.82548938629994
-108696.6,5019184.0,-77.61591823499951
-106696.6,4997184.0,-16.050868618046174
-106696.6,4999184.0,-17.988616263662525
-106696.6,5001184.0,-18.221250016851748
-106696.6,5003184.0,-18.186120483342744
-106696.6,5005184.0,-78.43618080126572
-106696.6,5007184.0,-78.30822176462674
-106696.6,5013184.0,-77.92434421747917
-106696.6,5015184.0,-77.73240091688405
-106696.6,5017184.0,-78.17001234570107
-106696.6,5019184.0,-77.63942422301649
-106696.6,5021184.0,-78.17982672268933
-106696.6,5025184.0,-78.26325600957615
-104696.6,4999184.0,-15.858739526012664
-104696.6,5001184.0,-18.16776703971776
-104696.6,5003184.0,-18.22367198206204
-104696.6,5005184.0,-18.213056432596222
-104696.6,5017184.0,-78.17091282200077
-104696.6,5019184.0,-78.01998057744528
-104696.6,5021184.0,-78.08940844839502
-104696.6,5023184.0,-77.62572962661214
-104696.6,5025184.0,-76.71612544136177
-102696.6,5003184.0,-18.007828000108887
-102696.6,5019184.0,-77.76657230856901
-102696.6,5021184.0,-77.5865485502234
-102696.6,5023184.0,-76.86845297311457
-102696.6,5025184.0,-77.83070345037518
-100696.6,5003184.0,-17.775086613719065
-100696.6,5019184.0,-76.69268397780328
-100696.6,5021184.0,-76.36327122868157
-100696.6,5023184.0,-76.81990557065052
-98696.6,5019184.0,-75.67897731777336
-98696.6,5023184.0,-77.64551412467907
-96696.6,5005184.0,-17.664415216916737
-96696.6,5007184.0,-17.94079257368394
-94696.6,5005184.0,-15.02896760300852
-94696.6,5007184.0,-17.93580889675463
-94696.6,5009184.0,-18.028553969842797
-92696.6,5005184.0,-14.793700326539543
-92696.6,5007184.0,-15.112481101509985
-92696.6,5009184.0,-17.989989759302272
-90696.6,4913184.0,-23.33492051119075
-90696.6,4915184.0,-16.603106478494965
-90696.6,4923184.0,-16.532967617274775
-90696.6,5007184.0,-14.920731655956862
-90696.6,5009184.0,-16.64708769957452
-88696.6,4909184.0,-16.729487185170345
-88696.6,4911184.0,-16.44513432333121
-88696.6,4913184.0,-16.48843102109259
-88696.6,4915184.0,-16.616223373845756
-88696.6,4917184.0,-16.65064287525315
-88696.6,4921184.0,-15.899151811075077
-88696.6,4923184.0,-15.899151811075077
-88696.6,4995184.0,-14.450484108919134
-88696.6,5005184.0,-14.318744865147693
-88696.6,5007184.0,-15.04991820587284
-88696.6,5009184.0,-15.014342640110115
-86696.6,4909184.0,-16.281569941759827
-86696.6,4911184.0,-16.740070851429756
-86696.6,4913184.0,-16.789442777311976
-86696.6,4915184.0,-16.81409675712337
-86696.6,4917184.0,-16.756306689012725
-86696.6,4919184.0,-16.581872685230692
-86696.6,4931184.0,-16.803423655941085
-86696.6,4933184.0,-17.009253878784396
-86696.6,5003184.0,-14.340884858204687
-86696.6,5005184.0,-14.513895321595406
-86696.6,5007184.0,-14.532070951260915
-86696.6,5009184.0,-15.009805157655693
-84696.6,4901184.0,-16.856577899721366
-84696.6,4903184.0,-17.551401332085476
-84696.6,4905184.0,-17.826209425676538
-84696.6,4907184.0,-17.78977417350882
-84696.6,4909184.0,-17.106055768346422
-84696.6,4911184.0,-16.94197737803107
-84696.6,4913184.0,-16.872231111371025
-84696.6,4915184.0,-16.823333833771237
-84696.6,4917184.0,-16.700981550133697
-84696.6,4919184.0,-16.60162182966066
-84696.6,4927184.0,-16.786015488172648
-84696.6,4929184.0,-16.824403530239497
-84696.6,4931184.0,-16.880216146671497
-84696.6,4933184.0,-16.732312594015
-84696.6,4935184.0,-16.88351343863376
-84696.6,4937184.0,-16.78343238791327
-84696.6,5001184.0,-14.372435614434616
-84696.6,5003184.0,-14.504770796252815
-84696.6,5005184.0,-14.524652742613434
-84696.6,5007184.0,-14.476088450311439
-84696.6,5009184.0,-15.055106948271494
-82696.6,4853184.0,-17.278740996882163
-82696.6,4901184.0,-16.304858634451865
-82696.6,4903184.0,-17.80907501194638
-82696.6,4905184.0,-17.74776896924455
-82696.6,4907184.0,-17.649244356810634
-82696.6,4909184.0,-16.75929750206478
-82696.6,4911184.0,-16.598783375941288
-82696.6,4913184.0,-16.936030608477616
-82696.6,4915184.0,-16.684022951052867
-82696.6,4917184.0,-15.899151811075075
-82696.6,4919184.0,-15.899151811075075
-82696.6,4921184.0,-15.899151811075075
-82696.6,4923184.0,-15.899151811075075
-82696.6,4925184.0,-16.511053753085324
-82696.6,4927184.0,-16.638421524872427
-82696.6,4929184.0,-16.679357456302455
-82696.6,4931184.0,-16.46325603450227
-82696.6,4933184.0,-16.587402751889602
-82696.6,4935184.0,-16.73130906915127
-82696.6,4937184.0,-16.87535480319292
-82696.6,5003184.0,-14.36972503424325
-82696.6,5005184.0,-14.537445974380264
-82696.6,5007184.0,-14.563974980814361
-82696.6,5009184.0,-14.528914472092666
-80696.6,4849184.0,-24.04188530602267
-80696.6,4851184.0,-22.923566402752456
-80696.6,4853184.0,-17.46477512837847
-80696.6,4901184.0,-17.404993763285894
-80696.6,4903184.0,-18.079110625010593
-80696.6,4905184.0,-17.738856732365683
-80696.6,4907184.0,-17.803635782656965
-80696.6,4909184.0,-16.309569794193685
-80696.6,4911184.0,-16.139069964301264
-80696.6,4913184.0,-16.028576106724817
-80696.6,4915184.0,-16.210484230318425
