X,Y,value
-378448.1,4083043.3,-9.644304236946942
-376448.1,4081043.3,-9.68653079258859
-376448.1,4083043.3,-10.352114956001929
-374448.1,4079043.3,-9.72525799671795
-374448.1,4081043.3,-9.577732068882959
-374448.1,4083043.3,-10.544036220023505
-360448.1,4135043.3,-11.675335725824256
-360448.1,4137043.3,-11.72036485949668
-354448.1,4131043.3,-1526.5490634654468
-348448.1,4117043.3,-10.641822333178427
-344448.1,4109043.3,-8.892679022342627
-344448.1,4115043.3,-11.337492521090924
-344448.1,4117043.3,-1594.580148491596
-342448.1,4093043.3,-11.596608078006653
-342448.1,4095043.3,-11.672923126900951
-342448.1,4097043.3,-11.660720666762689
-342448.1,4109043.3,-9.215245724462743
-342448.1,4113043.3,-11.392429401050444
-340448.1,4093043.3,-11.61418010525716
-340448.1,4095043.3,-11.625955253592211
-340448.1,4109043.3,-9.17423343918573
-340448.1,4111043.3,-9.1381537075578
-340448.1,4125043.3,-1597.0278482475285
-338448.1,4107043.3,-12.548713751710459
-338448.1,4109043.3,-9.22453820096549
-338448.1,4125043.3,-9.460453899240054
-338448.1,4127043.3,-9.854683999369719
-336448.1,4079043.3,-10.409960840959576
-336448.1,4107043.3,-12.918579820833896
-336448.1,4111043.3,-12.354197582039928
-336448.1,4113043.3,-11.655232500082054
-336448.1,4115043.3,-10.864594415092489
-336448.1,4125043.3,-10.907066291679017
-334448.1,4079043.3,-10.873464329441365
-334448.1,4103043.3,-12.936051185588834
-334448.1,4105043.3,-12.924011124092724
-334448.1,4107043.3,-11.711335179782461
-334448.1,4109043.3,-12.180672948375928
-334448.1,4115043.3,-12.01002312922623
-334448.1,4117043.3,-12.008600015889451
-334448.1,4133043.3,-10.150973620992366
-332448.1,4101043.3,-12.837104033545202
-332448.1,4103043.3,-12.911187626836671
-332448.1,4109043.3,-11.83739357892786
-332448.1,4111043.3,-11.463370716380961
-332448.1,4117043.3,-11.913028229975717
-332448.1,4127043.3,-10.265271420326753
-330448.1,4075043.3,-12.979996549155905
-330448.1,4077043.3,-7.679928385147436
-330448.1,4083043.3,-10.272759903847755
-330448.1,4085043.3,-10.2573378748665
-330448.1,4087043.3,-9.824041063107916
-330448.1,4089043.3,-10.15740879523912
-330448.1,4101043.3,-12.11443328038266
-330448.1,4103043.3,-11.611536567190981
-330448.1,4105043.3,-12.56189972074673
-330448.1,4107043.3,-11.363835431266748
-330448.1,4109043.3,-12.58564147849298
