X,Y,value
-545944.6,4463422.8,-2.467754651238317
-543944.6,4463422.8,-3.295610686682473
-537944.6,4453422.8,-3.786745604887465
-537944.6,4455422.8,-3.7975269490482075
-533944.6,4439422.8,-3.4200726627911604
-533944.6,4441422.8,-2.062456457489093
-533944.6,4443422.8,-3.482630095878544
-533944.6,4445422.8,-4.240663936707914
-533944.6,4449422.8,-4.469445041393091
-531944.6,4437422.8,-4.053328583961336
-531944.6,4439422.8,-1.8209038291176383
-531944.6,4441422.8,-2.0981606584015404
-531944.6,4443422.8,-1.8876120234298919
-531944.6,4445422.8,-4.442964606689063
-531944.6,4447422.8,-4.613086546399396
-531944.6,4449422.8,-4.787286302806192
-531944.6,4451422.8,-4.799818221663882
-531944.6,4453422.8,-4.844004203988695
-529944.6,4437422.8,-4.288150531606636
-529944.6,4439422.8,-2.9196265666618513
-529944.6,4441422.8,-1.3918498363068657
-529944.6,4443422.8,-2.9519792904229907
-529944.6,4445422.8,-4.703462241406567
-529944.6,4447422.8,-4.566408633855588
-529944.6,4449422.8,-4.828257257625208
-529944.6,4451422.8,-5.16727702929585
-529944.6,4453422.8,-4.998738703765327
-527944.6,4437422.8,-4.302575299441756
-527944.6,4439422.8,-4.596934034302103
-527944.6,4441422.8,-4.080802975982224
-527944.6,4443422.8,-4.80108366710211
-527944.6,4445422.8,-4.680844266176867
-527944.6,4447422.8,-4.758610399718261
-527944.6,4449422.8,-4.920654414363667
-527944.6,4451422.8,-5.177419370902756
-527944.6,4453422.8,-4.987333471772454
-527944.6,4455422.8,-5.012731387025497
-527944.6,4457422.8,-4.652186027241636
-525944.6,4437422.8,-4.4278916639638135
-525944.6,4439422.8,-4.776840635566891
-525944.6,4441422.8,-4.947555011587784
-525944.6,4443422.8,-4.743297581543582
-525944.6,4445422.8,-4.847159274553743
-525944.6,4447422.8,-4.810594335304765
-525944.6,4449422.8,-4.956440065617606
-525944.6,4451422.8,-5.030836494642875
-525944.6,4453422.8,-4.852743179566615
-525944.6,4455422.8,-5.042390763812687
-525944.6,4457422.8,-4.675273787485203
-523944.6,4437422.8,-4.39865696209877
-523944.6,4439422.8,-4.808767059262197
-523944.6,4441422.8,-4.782440076820722
-523944.6,4443422.8,-4.702151576627576
-523944.6,4445422.8,-4.758666617938191
-523944.6,4447422.8,-4.789333485146476
-523944.6,4449422.8,-4.887904087675887
-523944.6,4451422.8,-4.951687636376697
-523944.6,4453422.8,-4.828329734816529
-523944.6,4455422.8,-4.893872256249826
-523944.6,4457422.8,-4.829227378833363
-521944.6,4437422.8,-4.145596935564322
-521944.6,4439422.8,-4.525539065872594
-521944.6,4441422.8,-4.027497997988079
-521944.6,4443422.8,-4.7726031927624
-521944.6,4445422.8,-4.797529182733607
-521944.6,4447422.8,-4.8365856896929715
-521944.6,4449422.8,-4.864332369801477
-521944.6,4451422.8,-5.109009390242099
-521944.6,4453422.8,-4.816569598048367
-521944.6,4455422.8,-4.915152401125464
-521944.6,4457422.8,-4.836852258941457
-519944.6,4437422.8,-4.184418177153311
-519944.6,4439422.8,-2.783540023443441
-519944.6,4441422.8,-1.3604111611313003
-519944.6,4443422.8,-3.0193506553627505
-519944.6,4445422.8,-4.7291800095687515
-519944.6,4447422.8,-4.874995963177652
-519944.6,4449422.8,-4.749242740593552
-519944.6,4451422.8,-4.799776030578151
-519944.6,4453422.8,-4.711552620554521
-519944.6,4455422.8,-4.877737397265023
-517944.6,4439422.8,-1.900065239519578
-517944.6,4441422.8,-1.0200735029060837
-517944.6,4443422.8,-2.1288012259201023
-517944.6,4445422.8,-5.02877150469275
-517944.6,4447422.8,-4.799223012336203
-517944.6,4449422.8,-4.77472731249718
-517944.6,4451422.8,-4.761553870484626
-517944.6,4453422.8,-5.077173788519854
-517944.6,4455422.8,-4.266022035389623
-517944.6,4459422.8,-3.561399324023258
-515944.6,4441422.8,-1.0013981387854343
-515944.6,4443422.8,-1.0287995752714316
-515944.6,4445422.8,-0.8825271928191986
-515944.6,4447422.8,-0.8154578945438589
-515944.6,4453422.8,-4.826266523757805
-515944.6,4455422.8,-4.061698925658294
-515944.6,4457422.8,-7.192530961523091
-515944.6,4459422.8,-3.4010868528316
-513944.6,4443422.8,-0.9047440886611459
-513944.6,4445422.8,-0.823647909748315
-513944.6,4453422.8,-0.49368649740306497
-513944.6,4455422.8,-0.47467749363142775
-513944.6,4457422.8,-0.39852971044455654
-513944.6,4459422.8,-0.5876987005533536
-513944.6,4471422.8,-3.7933379228660513
-513944.6,4473422.8,-3.6946473698409346
-511944.6,4451422.8,-0.5624464195893969
-511944.6,4453422.8,-0.4869769343484589
-511944.6,4455422.8,-0.4705446546164577
-511944.6,4457422.8,-0.4461390060548043
-511944.6,4459422.8,-0.3706648402784548
-511944.6,4471422.8,-3.782405905050687
-511944.6,4473422.8,-10.260014670575195
-509944.6,4453422.8,-0.5085099374946842
-509944.6,4455422.8,-0.47788509849883104
-509944.6,4457422.8,-0.45072901790963565
-509944.6,4459422.8,-0.4233584070228813
-509944.6,4471422.8,-3.718351596883182
-507944.6,4453422.8,-0.454584341996303
-507944.6,4455422.8,-0.4488538620685654
-507944.6,4457422.8,-0.4459933521618088
-507944.6,4459422.8,-0.4288389669781657
-507944.6,4471422.8,-0.3436136888642204
-505944.6,4453422.8,-0.41854983255880057
-505944.6,4455422.8,-0.4274379310145588
-495944.6,4515422.8,-26.522849033414595
-489944.6,4515422.8,-0.5264566572030069
-487944.6,4511422.8,-0.5274217314274336
-487944.6,4513422.8,-0.6642679714401359
-487944.6,4515422.8,-0.4481253506252623
-485944.6,4507422.8,-29.519665000000003
-485944.6,4511422.8,-0.358127474391495
-485944.6,4513422.8,-0.40289845800765584
-485944.6,4515422.8,-0.5160626496356263
-485944.6,4517422.8,-26.045738198442187
-485944.6,4519422.8,-0.5200845002371961
-483944.6,4507422.8,-0.4577225559415661
-483944.6,4511422.8,-0.40654027489955885
-483944.6,4513422.8,-0.5322861238841061
-483944.6,4515422.8,-0.5263807595360497
-483944.6,4517422.8,-0.5749886660293132
-483944.6,4521422.8,-0.5870237827144342
-483944.6,4523422.8,-0.5341623391445823
-483944.6,4525422.8,-0.5226700990546016
-481944.6,4511422.8,-0.5534235577667673
-481944.6,4513422.8,-0.5315249809954773
-481944.6,4515422.8,-0.5013199785605545
-481944.6,4517422.8,-31.1448
-481944.6,4519422.8,-31.235542857142857
-481944.6,4521422.8,-0.5039373432967688
-481944.6,4523422.8,-0.5071618509077467
-479944.6,4491422.8,-0.15430600358403593
-479944.6,4493422.8,-0.753046616716769
-479944.6,4495422.8,-0.7409455732785889
-479944.6,4513422.8,-0.5340414809441156
-479944.6,4515422.8,-0.5410023402049466
-479944.6,4517422.8,-0.6060712610754421
-479944.6,4519422.8,-0.6435942231249253
-479944.6,4521422.8,-0.6225793489424842
-477944.6,4491422.8,-0.15224020782962708
-477944.6,4493422.8,-0.1511724588195577
-477944.6,4495422.8,-0.7281615195405352
-477944.6,4507422.8,-0.5634963583124727
-477944.6,4513422.8,-0.48733605773522304
-477944.6,4515422.8,-0.5202315212593787
-477944.6,4517422.8,-0.6008346565388597
-477944.6,4519422.8,-0.6216588171096101
-477944.6,4521422.8,-0.5171582763553985
-475944.6,4491422.8,-0.1500141865509829
-475944.6,4493422.8,-0.14815214173986777
-475944.6,4495422.8,-0.140412149123115
-475944.6,4515422.8,-0.5114566113163174
-475944.6,4517422.8,-0.6216316659497012
-475944.6,4521422.8,-0.519692307932919
-475944.6,4531422.8,-0.4916576300134973
-473944.6,4491422.8,-0.1327552872445243
-473944.6,4493422.8,-0.1447299575664557
-473944.6,4495422.8,-0.14099599773992394
-473944.6,4517422.8,-0.5079697289445745
-473944.6,4519422.8,-0.5205735554359879
-473944.6,4521422.8,-0.5093350336683888
-473944.6,4523422.8,-0.558291143067126
-471944.6,4489422.8,-0.11916219991623613
-471944.6,4491422.8,-0.12864353081638658
-471944.6,4493422.8,-0.12550912545422815
-471944.6,4495422.8,-0.13364769015040873
-471944.6,4517422.8,-0.5234789283660359
-471944.6,4519422.8,-0.5283203554034994
-471944.6,4521422.8,-0.5284604110884038
-471944.6,4523422.8,-0.5730751249217599
-469944.6,4465422.8,-0.11083459984134394
-469944.6,4489422.8,-0.12980433685214754
-469944.6,4491422.8,-0.12227928251468566
-469944.6,4493422.8,-0.13326666410897467
-469944.6,4495422.8,-0.13059954631458506
-469944.6,4519422.8,-0.5336900667009212
-469944.6,4523422.8,-0.5602876335614413
-469944.6,4525422.8,-0.573932512044399
-469944.6,4527422.8,-0.5356576287267294
-467944.6,4463422.8,-0.10901562047572012
-467944.6,4467422.8,-0.10387064846184525
-467944.6,4491422.8,-0.13235706238101708
-467944.6,4493422.8,-0.13045631864268825
-467944.6,4495422.8,-0.1296066539286205
-467944.6,4501422.8,-0.13744445363171032
-467944.6,4511422.8,-0.5077343415714941
-467944.6,4517422.8,-19.8636174235003
-467944.6,4519422.8,-0.5195808787449551
-467944.6,4521422.8,-0.5625231046911413
-467944.6,4523422.8,-0.5700084360604822
-467944.6,4525422.8,-0.5521120195092297
-467944.6,4527422.8,-0.539716768865119
-467944.6,4529422.8,-0.5197956833780212
-465944.6,4489422.8,-0.12992812100305337
-465944.6,4491422.8,-0.10612171462032438
-465944.6,4493422.8,-0.1275973271380126
-465944.6,4495422.8,-0.12093705149949263
-465944.6,4505422.8,-0.13696629661068796
-465944.6,4519422.8,-0.5588768232309919
-465944.6,4521422.8,-0.572633635985319
-465944.6,4523422.8,-0.5548148619683912
-465944.6,4525422.8,-0.5562927915553758
-465944.6,4527422.8,-0.5674947121182016
-465944.6,4529422.8,-0.5708839145273139
-465944.6,4531422.8,-0.5241964059083766
-465944.6,4533422.8,-0.5288817272571914
-463944.6,4463422.8,-0.1545277751720959
-463944.6,4489422.8,-0.13878249221309774
-463944.6,4491422.8,-0.12388313286402594
-463944.6,4493422.8,-0.11734989931997321
-463944.6,4497422.8,-0.11776258131942105
-463944.6,4505422.8,-0.12963295750043177
-463944.6,4517422.8,-19.80717127955124
-463944.6,4521422.8,-0.5535766306107812
-463944.6,4523422.8,-0.5637790049878345
