X,Y,value
-545944.6,4463422.8,-13.650164881745065
-543944.6,4463422.8,-14.499233664246134
-539944.6,4471422.8,-14.774093068524971
-537944.6,4453422.8,-16.24929306871525
-537944.6,4455422.8,-15.829793618397218
-537944.6,4469422.8,-14.044804910768732
-537944.6,4471422.8,-14.870082938724789
-533944.6,4439422.8,-20.913213603726494
-533944.6,4441422.8,-20.550436079004488
-533944.6,4443422.8,-19.502008882335126
-533944.6,4445422.8,-18.400356160158267
-533944.6,4449422.8,-17.826620440424694
-531944.6,4437422.8,-20.7658736313707
-531944.6,4439422.8,-22.63088565612759
-531944.6,4441422.8,-46.01470835680338
-531944.6,4443422.8,-20.211998589819324
-531944.6,4445422.8,-17.398238989785096
-531944.6,4447422.8,-18.02794785733562
-531944.6,4449422.8,-18.444864467468225
-531944.6,4451422.8,-17.812081506000684
-531944.6,4453422.8,-17.410032564900796
-529944.6,4437422.8,-22.315366487187386
-529944.6,4439422.8,-23.277534455229986
-529944.6,4441422.8,-22.86901484975034
-529944.6,4443422.8,-20.585346250426728
-529944.6,4445422.8,-18.608561248255864
-529944.6,4447422.8,-17.869736838103236
-529944.6,4449422.8,-18.3140254669376
-529944.6,4451422.8,-18.073115307245462
-529944.6,4453422.8,-16.32075714199996
-527944.6,4437422.8,-22.67499198209217
-527944.6,4439422.8,-23.031368114412253
-527944.6,4441422.8,-21.94638835901027
-527944.6,4443422.8,-20.580571258488607
-527944.6,4445422.8,-18.427602804179738
-527944.6,4447422.8,-18.161521563030536
-527944.6,4449422.8,-16.99503991925867
-527944.6,4451422.8,-15.984289883334814
-527944.6,4453422.8,-15.152436186366595
-527944.6,4455422.8,-14.682727146111695
-527944.6,4457422.8,-13.487692455320316
-525944.6,4437422.8,-23.581566310431363
-525944.6,4439422.8,-23.649372424468147
-525944.6,4441422.8,-22.187680020463905
-525944.6,4443422.8,-20.390192441665153
-525944.6,4445422.8,-18.732600947524574
-525944.6,4447422.8,-17.169494785732862
-525944.6,4449422.8,-16.196335476223044
-525944.6,4451422.8,-15.34532068934938
-525944.6,4453422.8,-12.220296115546885
-525944.6,4455422.8,-10.770778283876348
-525944.6,4457422.8,-9.975547068659194
