X,Y,value
-545944.6,4463422.8,-13.186992101513265
-543944.6,4463422.8,-14.178425461004817
-539944.6,4471422.8,-11.809001262019255
-537944.6,4453422.8,-15.166930641533767
-537944.6,4455422.8,-15.097768760751485
-537944.6,4469422.8,-11.401255334843729
-537944.6,4471422.8,-11.932963789293586
-533944.6,4439422.8,-17.635959266288666
-533944.6,4441422.8,-17.80577202981058
-533944.6,4443422.8,-17.079454740269995
-533944.6,4445422.8,-16.667764232578506
-533944.6,4449422.8,-16.777111213962993
-531944.6,4437422.8,-17.2742579077534
-531944.6,4439422.8,-18.590258907916112
-531944.6,4441422.8,-42.29514575485646
-531944.6,4443422.8,-17.972659050663538
-531944.6,4445422.8,-16.669349630103696
-531944.6,4447422.8,-17.31473569039296
-531944.6,4449422.8,-17.97159527153133
-531944.6,4451422.8,-18.019451066440638
-531944.6,4453422.8,-18.129874573372113
-529944.6,4437422.8,-18.000630882877857
-529944.6,4439422.8,-18.74607356151056
-529944.6,4441422.8,-19.162220252431368
-529944.6,4443422.8,-17.573612298043756
-529944.6,4445422.8,-17.654665776598325
-529944.6,4447422.8,-17.143268501801373
-529944.6,4449422.8,-18.01301779532712
-529944.6,4451422.8,-18.7743686871896
-529944.6,4453422.8,-17.766952408839863
-527944.6,4437422.8,-17.78710936566439
-527944.6,4439422.8,-18.23120815804378
-527944.6,4441422.8,-18.178028372171617
-527944.6,4443422.8,-18.024021993299574
-527944.6,4445422.8,-17.574666775666362
-527944.6,4447422.8,-17.49702826901658
-527944.6,4449422.8,-17.410486224751516
-527944.6,4451422.8,-17.71969606745433
-527944.6,4453422.8,-16.716066047956197
-527944.6,4455422.8,-16.56611376101436
-527944.6,4457422.8,-15.28546891489745
-525944.6,4437422.8,-17.88734463065837
-525944.6,4439422.8,-18.38556940183744
-525944.6,4441422.8,-18.5763721913154
-525944.6,4443422.8,-17.81089674386617
-525944.6,4445422.8,-17.823809621602074
-525944.6,4447422.8,-16.87497527359536
-525944.6,4449422.8,-16.703900587178833
-525944.6,4451422.8,-16.33914811723778
-525944.6,4453422.8,-14.515351912186658
-525944.6,4455422.8,-14.1722415261072
-525944.6,4457422.8,-12.923382323963946
-523944.6,4437422.8,-17.384733450971257
-523944.6,4439422.8,-18.05461972502326
-523944.6,4441422.8,-17.958406232367473
-523944.6,4443422.8,-17.55781732684689
-523944.6,4445422.8,-16.857490187537984
-523944.6,4447422.8,-16.140781281168948
-523944.6,4449422.8,-15.40205574369935
-523944.6,4451422.8,-13.652103393127524
-523944.6,4453422.8,-13.310738458129467
-523944.6,4455422.8,-13.222104678291915
-523944.6,4457422.8,-12.835494606392091
-521944.6,4437422.8,-16.095316034598557
-521944.6,4439422.8,-16.99122230639499
-521944.6,4441422.8,-17.822589110890146
-521944.6,4443422.8,-17.35632347274766
-521944.6,4445422.8,-16.441164703008024
-521944.6,4447422.8,-15.711249005170172
-521944.6,4449422.8,-13.411074130177576
-521944.6,4451422.8,-13.967011496918195
-521944.6,4453422.8,-12.227903108349453
-521944.6,4455422.8,-11.933371391571486
-521944.6,4457422.8,-11.190523992298353
-519944.6,4437422.8,-16.058269449063417
-519944.6,4439422.8,-16.56572547563652
-519944.6,4441422.8,-17.908201155766076
-519944.6,4443422.8,-17.079198933186543
-519944.6,4445422.8,-15.899439017565957
-519944.6,4447422.8,-14.698130060366669
-519944.6,4449422.8,-13.093160607445231
-519944.6,4451422.8,-12.18398527838818
-519944.6,4453422.8,-10.40179057262111
-519944.6,4455422.8,-8.349105376755189
-517944.6,4439422.8,-17.461717524680317
-517944.6,4441422.8,-19.06598657549823
-517944.6,4443422.8,-18.325408857881985
-517944.6,4445422.8,-16.66315394507133
-517944.6,4447422.8,-13.61206723196018
-517944.6,4449422.8,-12.911690563194789
-517944.6,4451422.8,-11.627102047350764
-517944.6,4453422.8,-8.715967937879187
-517944.6,4455422.8,-5.154833138898026
-517944.6,4459422.8,-3.6497610227853996
-515944.6,4441422.8,-18.64110916728933
-515944.6,4443422.8,-17.978233900735
-515944.6,4445422.8,-16.105012926978276
-515944.6,4447422.8,-14.488902695353124
-515944.6,4449422.8,-11.400098618773539
-515944.6,4453422.8,-7.926429714760831
-515944.6,4455422.8,-3.464672176681612
-515944.6,4457422.8,-0.8191397665682009
-515944.6,4459422.8,-2.5769524870404013
-515944.6,4471422.8,-9.506326940089638
-513944.6,4443422.8,-17.804140816639432
-513944.6,4445422.8,-16.855652192839326
-513944.6,4447422.8,-10.911641961292368
