X,Y,value
-315007.3,4860721.9,-4.55088043997803
-309007.3,4854721.9,-7.088266569576639
-305007.3,4838721.9,-7.524019771217872
-305007.3,4840721.9,-6.97411196624267
-303007.3,4832721.9,-8.33051301914371
-303007.3,4836721.9,-7.483263532642191
-303007.3,4838721.9,-7.514189401727342
-301007.3,4830721.9,-7.781657252018497
-301007.3,4832721.9,-7.787253941048297
-301007.3,4834721.9,-6.786300161097137
-283007.3,4832721.9,-7.966838403439242
-283007.3,4834721.9,-7.9934777550221225
-281007.3,4830721.9,-8.023570943107389
-281007.3,4832721.9,-8.089867562164171
-281007.3,4834721.9,-8.132471607848231
-281007.3,4836721.9,-8.194169381267757
-279007.3,4832721.9,-8.06149400079297
-279007.3,4834721.9,-8.120289971344562
-279007.3,4840721.9,-7.865307259375985
-277007.3,4832721.9,-8.191696256642851
-277007.3,4834721.9,-7.901226496914479
-277007.3,4836721.9,-7.930239517598114
-277007.3,4838721.9,-7.808982996163261
-277007.3,4840721.9,-7.700261642047284
-277007.3,4842721.9,-7.73678226646879
-263007.3,4784721.9,-3.602935945743537
-263007.3,4786721.9,-3.086375036388717
-263007.3,4788721.9,-2.516351722436672
-263007.3,4790721.9,-1.6519656831212952
-263007.3,4792721.9,-0.964549079783127
-263007.3,4794721.9,-1.6177163524523424
-263007.3,4796721.9,-2.5370170121403395
-263007.3,4798721.9,-3.2057029701590927
-261007.3,4784721.9,-3.5534141554454584
-261007.3,4786721.9,-2.9952628349441075
-261007.3,4788721.9,-2.3079880976352936
-261007.3,4790721.9,-0.9623782458261093
-261007.3,4792721.9,-0.10145138928733531
-261007.3,4794721.9,-0.9673605734275184
-261007.3,4796721.9,-2.3187639423678603
-261007.3,4798721.9,-3.078554230214064
-261007.3,4800721.9,-3.7182817439167835
-259007.3,4784721.9,-3.6273059528676446
-259007.3,4786721.9,-3.1291061440992016
-259007.3,4836721.9,-7.174561628879732
-259007.3,4838721.9,-7.537386735863507
-257007.3,4836721.9,-7.2021014309559535
-255007.3,4780721.9,-4.431198052690832
-253007.3,4800721.9,-4.42684709313676
-253007.3,4802721.9,-4.757347350699607
