X,Y,value
-315007.3,4860721.9,-12.449618351842268
-309007.3,4854721.9,-20.09066692430583
-305007.3,4838721.9,-21.88909541431604
-305007.3,4840721.9,-19.698299434264193
-303007.3,4832721.9,-24.218091130195567
-303007.3,4836721.9,-21.406636216222907
-303007.3,4838721.9,-21.508183576565372
-301007.3,4830721.9,-22.346691796220195
-301007.3,4832721.9,-22.364569417242123
-301007.3,4834721.9,-19.134530424830384
-283007.3,4832721.9,-22.050560595082704
-283007.3,4834721.9,-22.106045621324373
-281007.3,4830721.9,-22.102051277900422
-281007.3,4832721.9,-22.282712937607652
-281007.3,4834721.9,-22.4009691474051
-281007.3,4836721.9,-22.57265221848394
-279007.3,4832721.9,-22.204455648517147
-279007.3,4834721.9,-22.36671132330001
-279007.3,4840721.9,-21.669729040990664
-277007.3,4832721.9,-22.773186653929425
-277007.3,4834721.9,-21.84714761925131
-277007.3,4836721.9,-21.88876907372933
-277007.3,4838721.9,-21.51029496400187
-277007.3,4840721.9,-21.169892621029263
-277007.3,4842721.9,-21.272471574264966
-263007.3,4784721.9,-14.491716927171616
-263007.3,4786721.9,-12.559121047049327
-263007.3,4788721.9,-10.322163867193094
-263007.3,4790721.9,-8.180444589636892
-263007.3,4792721.9,-6.044112438184442
-263007.3,4794721.9,-7.967307235131598
-263007.3,4796721.9,-10.404790726239295
-263007.3,4798721.9,-13.120842024631546
-261007.3,4784721.9,-14.404985263166482
-261007.3,4786721.9,-12.14972998585398
-261007.3,4788721.9,-9.874474267865223
-261007.3,4790721.9,-6.031247017481235
-261007.3,4792721.9,-1.1213048289652847
-261007.3,4794721.9,-6.05884666536839
-261007.3,4796721.9,-9.919216291759536
-261007.3,4798721.9,-12.55149885647475
-261007.3,4800721.9,-15.119339590269337
-259007.3,4784721.9,-14.587408354924685
-259007.3,4786721.9,-12.797831344363626
-259007.3,4836721.9,-20.41984441934744
-259007.3,4838721.9,-20.828306379447742
-257007.3,4836721.9,-20.46365497193581
-255007.3,4780721.9,-14.261307749267758
-253007.3,4800721.9,-15.392046039493719
-253007.3,4802721.9,-15.779603501740372
-251007.3,4772721.9,-18.597319758531924
-251007.3,4774721.9,-18.883003775839924
-251007.3,4776721.9,-19.329253391740334
-251007.3,4792721.9,-15.685809125276055
-251007.3,4794721.9,-15.528161741887612
-251007.3,4802721.9,-16.05656291196588
-249007.3,4768721.9,-17.986211898757073
-249007.3,4770721.9,-18.084680717299733
-249007.3,4772721.9,-18.52760578067894
-249007.3,4786721.9,-15.120622584589643
-249007.3,4788721.9,-15.922201527579235
-249007.3,4790721.9,-15.602231509104833
